x, y, z, c
-9.999993e-2,-1.0,0.20000008 ,771
7.4505806e-8,-1.0,0.20000008 ,771
0.100000076,-1.0,0.20000008 ,771
0.20000008,-1.0,0.20000008 ,771
0.30000007,-1.0,0.20000008 ,771
0.40000007,-1.0,0.20000008 ,771
0.50000006,-1.0,0.20000008 ,771
0.6000001,-1.0,0.20000008 ,771
0.7000001,-1.0,0.20000008 ,771
-9.999993e-2,-1.0,0.20000008 ,771
7.4505806e-8,-1.0,0.20000008 ,771
0.100000076,-1.0,0.20000008 ,771
0.20000008,-1.0,0.20000008 ,771
0.30000007,-1.0,0.20000008 ,771
0.40000007,-1.0,0.20000008 ,771
0.50000006,-1.0,0.20000008 ,771
0.6000001,-1.0,0.20000008 ,771
0.7000001,-1.0,0.20000008 ,771
-1.0,-1.0,0.20000008 ,771
-0.9,-1.0,0.20000008 ,771
-0.79999995,-1.0,0.20000008 ,771
-0.6999999,-1.0,0.20000008 ,771
-0.5999999,-1.0,0.20000008 ,771
-0.4999999,-1.0,0.20000008 ,771
-0.39999992,-1.0,0.20000008 ,771
-0.29999992,-1.0,0.20000008 ,771
-0.19999993,-1.0,0.20000008 ,771
-1.0,-1.0,0.20000008 ,771
-0.9,-1.0,0.20000008 ,771
-0.79999995,-1.0,0.20000008 ,771
-0.6999999,-1.0,0.20000008 ,771
-0.5999999,-1.0,0.20000008 ,771
-0.4999999,-1.0,0.20000008 ,771
-0.39999992,-1.0,0.20000008 ,771
-0.29999992,-1.0,0.20000008 ,771
-0.19999993,-1.0,0.20000008 ,771
0.20000008,1.0000001,0.100000076 ,771
0.30000007,1.0000001,0.100000076 ,771
0.40000007,1.0000001,0.100000076 ,771
0.50000006,1.0000001,0.100000076 ,771
0.6000001,1.0000001,0.100000076 ,771
0.7000001,1.0000001,0.100000076 ,771
0.80000013,1.0000001,0.100000076 ,771
0.90000015,1.0000001,0.100000076 ,771
1.0000001,1.0000001,0.100000076 ,771
0.20000008,1.0000001,0.100000076 ,771
0.30000007,1.0000001,0.100000076 ,771
0.40000007,1.0000001,0.100000076 ,771
0.50000006,1.0000001,0.100000076 ,771
0.6000001,1.0000001,0.100000076 ,771
0.7000001,1.0000001,0.100000076 ,771
0.80000013,1.0000001,0.100000076 ,771
0.90000015,1.0000001,0.100000076 ,771
1.0000001,1.0000001,0.100000076 ,771
-0.6999999,1.0000001,0.100000076 ,771
-0.5999999,1.0000001,0.100000076 ,771
-0.4999999,1.0000001,0.100000076 ,771
-0.39999992,1.0000001,0.100000076 ,771
-0.29999992,1.0000001,0.100000076 ,771
-0.19999993,1.0000001,0.100000076 ,771
-9.999993e-2,1.0000001,0.100000076 ,771
7.4505806e-8,1.0000001,0.100000076 ,771
0.100000076,1.0000001,0.100000076 ,771
-0.6999999,1.0000001,0.100000076 ,771
-0.5999999,1.0000001,0.100000076 ,771
-0.4999999,1.0000001,0.100000076 ,771
-0.39999992,1.0000001,0.100000076 ,771
-0.29999992,1.0000001,0.100000076 ,771
-0.19999993,1.0000001,0.100000076 ,771
-9.999993e-2,1.0000001,0.100000076 ,771
7.4505806e-8,1.0000001,0.100000076 ,771
0.100000076,1.0000001,0.100000076 ,771
0.50000006,0.90000015,0.100000076 ,771
0.6000001,0.90000015,0.100000076 ,771
0.7000001,0.90000015,0.100000076 ,771
0.80000013,0.90000015,0.100000076 ,771
0.90000015,0.90000015,0.100000076 ,771
1.0000001,0.90000015,0.100000076 ,771
-1.0,1.0000001,0.100000076 ,771
-0.9,1.0000001,0.100000076 ,771
-0.79999995,1.0000001,0.100000076 ,771
0.50000006,0.90000015,0.100000076 ,771
0.6000001,0.90000015,0.100000076 ,771
0.7000001,0.90000015,0.100000076 ,771
0.80000013,0.90000015,0.100000076 ,771
0.90000015,0.90000015,0.100000076 ,771
1.0000001,0.90000015,0.100000076 ,771
-1.0,1.0000001,0.100000076 ,771
-0.9,1.0000001,0.100000076 ,771
-0.79999995,1.0000001,0.100000076 ,771
-0.39999992,0.90000015,0.100000076 ,771
-0.29999992,0.90000015,0.100000076 ,771
-0.19999993,0.90000015,0.100000076 ,771
-9.999993e-2,0.90000015,0.100000076 ,771
7.4505806e-8,0.90000015,0.100000076 ,771
0.100000076,0.90000015,0.100000076 ,771
0.20000008,0.90000015,0.100000076 ,771
0.30000007,0.90000015,0.100000076 ,771
0.40000007,0.90000015,0.100000076 ,771
-0.39999992,0.90000015,0.100000076 ,771
-0.29999992,0.90000015,0.100000076 ,771
-0.19999993,0.90000015,0.100000076 ,771
-9.999993e-2,0.90000015,0.100000076 ,771
7.4505806e-8,0.90000015,0.100000076 ,771
0.100000076,0.90000015,0.100000076 ,771
0.20000008,0.90000015,0.100000076 ,771
0.30000007,0.90000015,0.100000076 ,771
0.40000007,0.90000015,0.100000076 ,771
0.80000013,0.80000013,0.100000076 ,771
0.90000015,0.80000013,0.100000076 ,771
1.0000001,0.80000013,0.100000076 ,771
-1.0,0.90000015,0.100000076 ,771
-0.9,0.90000015,0.100000076 ,771
-0.79999995,0.90000015,0.100000076 ,771
-0.6999999,0.90000015,0.100000076 ,771
-0.5999999,0.90000015,0.100000076 ,771
-0.4999999,0.90000015,0.100000076 ,771
0.80000013,0.80000013,0.100000076 ,771
0.90000015,0.80000013,0.100000076 ,771
1.0000001,0.80000013,0.100000076 ,771
-1.0,0.90000015,0.100000076 ,771
-0.9,0.90000015,0.100000076 ,771
-0.79999995,0.90000015,0.100000076 ,771
-0.6999999,0.90000015,0.100000076 ,771
-0.5999999,0.90000015,0.100000076 ,771
-0.4999999,0.90000015,0.100000076 ,771
-9.999993e-2,0.80000013,0.100000076 ,1028
7.4505806e-8,0.80000013,0.100000076 ,1028
0.100000076,0.80000013,0.100000076 ,1028
0.20000008,0.80000013,0.100000076 ,1028
0.30000007,0.80000013,0.100000076 ,1028
0.40000007,0.80000013,0.100000076 ,1028
0.50000006,0.80000013,0.100000076 ,1028
0.6000001,0.80000013,0.100000076 ,1028
0.7000001,0.80000013,0.100000076 ,771
-9.999993e-2,0.80000013,0.100000076 ,1028
7.4505806e-8,0.80000013,0.100000076 ,1028
0.100000076,0.80000013,0.100000076 ,1028
0.20000008,0.80000013,0.100000076 ,1028
0.30000007,0.80000013,0.100000076 ,1028
0.40000007,0.80000013,0.100000076 ,1028
0.50000006,0.80000013,0.100000076 ,1028
0.6000001,0.80000013,0.100000076 ,1028
0.7000001,0.80000013,0.100000076 ,771
-1.0,0.80000013,0.100000076 ,771
-0.9,0.80000013,0.100000076 ,771
-0.79999995,0.80000013,0.100000076 ,771
-0.6999999,0.80000013,0.100000076 ,771
-0.5999999,0.80000013,0.100000076 ,1028
-0.4999999,0.80000013,0.100000076 ,1028
-0.39999992,0.80000013,0.100000076 ,1028
-0.29999992,0.80000013,0.100000076 ,1028
-0.19999993,0.80000013,0.100000076 ,1028
-1.0,0.80000013,0.100000076 ,771
-0.9,0.80000013,0.100000076 ,771
-0.79999995,0.80000013,0.100000076 ,771
-0.6999999,0.80000013,0.100000076 ,771
-0.5999999,0.80000013,0.100000076 ,1028
-0.4999999,0.80000013,0.100000076 ,1028
-0.39999992,0.80000013,0.100000076 ,1028
-0.29999992,0.80000013,0.100000076 ,1028
-0.19999993,0.80000013,0.100000076 ,1028
0.20000008,0.7000001,0.100000076 ,1285
0.30000007,0.7000001,0.100000076 ,1285
0.40000007,0.7000001,0.100000076 ,1285
0.50000006,0.7000001,0.100000076 ,1285
0.6000001,0.7000001,0.100000076 ,1285
0.7000001,0.7000001,0.100000076 ,1028
0.80000013,0.7000001,0.100000076 ,1028
0.90000015,0.7000001,0.100000076 ,771
1.0000001,0.7000001,0.100000076 ,771
0.20000008,0.7000001,0.100000076 ,1285
0.30000007,0.7000001,0.100000076 ,1285
0.40000007,0.7000001,0.100000076 ,1285
0.50000006,0.7000001,0.100000076 ,1285
0.6000001,0.7000001,0.100000076 ,1285
0.7000001,0.7000001,0.100000076 ,1028
0.80000013,0.7000001,0.100000076 ,1028
0.90000015,0.7000001,0.100000076 ,771
1.0000001,0.7000001,0.100000076 ,771
-0.6999999,0.7000001,0.100000076 ,1028
-0.5999999,0.7000001,0.100000076 ,1285
-0.4999999,0.7000001,0.100000076 ,1285
-0.39999992,0.7000001,0.100000076 ,1285
-0.29999992,0.7000001,0.100000076 ,1285
-0.19999993,0.7000001,0.100000076 ,1285
-9.999993e-2,0.7000001,0.100000076 ,1028
7.4505806e-8,0.7000001,0.100000076 ,1028
0.100000076,0.7000001,0.100000076 ,1028
-0.6999999,0.7000001,0.100000076 ,1028
-0.5999999,0.7000001,0.100000076 ,1285
-0.4999999,0.7000001,0.100000076 ,1285
-0.39999992,0.7000001,0.100000076 ,1285
-0.29999992,0.7000001,0.100000076 ,1285
-0.19999993,0.7000001,0.100000076 ,1285
-9.999993e-2,0.7000001,0.100000076 ,1028
7.4505806e-8,0.7000001,0.100000076 ,1028
0.100000076,0.7000001,0.100000076 ,1028
0.50000006,0.6000001,0.100000076 ,2827
0.6000001,0.6000001,0.100000076 ,2313
0.7000001,0.6000001,0.100000076 ,1285
0.80000013,0.6000001,0.100000076 ,1028
0.90000015,0.6000001,0.100000076 ,1028
1.0000001,0.6000001,0.100000076 ,771
-1.0,0.7000001,0.100000076 ,771
-0.9,0.7000001,0.100000076 ,771
-0.79999995,0.7000001,0.100000076 ,1028
0.50000006,0.6000001,0.100000076 ,2827
0.6000001,0.6000001,0.100000076 ,2313
0.7000001,0.6000001,0.100000076 ,1285
0.80000013,0.6000001,0.100000076 ,1028
0.90000015,0.6000001,0.100000076 ,1028
1.0000001,0.6000001,0.100000076 ,771
-1.0,0.7000001,0.100000076 ,771
-0.9,0.7000001,0.100000076 ,771
-0.79999995,0.7000001,0.100000076 ,1028
-0.39999992,0.6000001,0.100000076 ,2056
-0.29999992,0.6000001,0.100000076 ,4626
-0.19999993,0.6000001,0.100000076 ,3855
-9.999993e-2,0.6000001,0.100000076 ,1542
7.4505806e-8,0.6000001,0.100000076 ,1285
0.100000076,0.6000001,0.100000076 ,1542
0.20000008,0.6000001,0.100000076 ,3855
0.30000007,0.6000001,0.100000076 ,4626
0.40000007,0.6000001,0.100000076 ,2056
-0.39999992,0.6000001,0.100000076 ,2056
-0.29999992,0.6000001,0.100000076 ,4626
-0.19999993,0.6000001,0.100000076 ,3855
-9.999993e-2,0.6000001,0.100000076 ,1542
7.4505806e-8,0.6000001,0.100000076 ,1285
0.100000076,0.6000001,0.100000076 ,1542
0.20000008,0.6000001,0.100000076 ,3855
0.30000007,0.6000001,0.100000076 ,4626
0.40000007,0.6000001,0.100000076 ,2056
0.80000013,0.50000006,0.100000076 ,1285
0.90000015,0.50000006,0.100000076 ,1028
1.0000001,0.50000006,0.100000076 ,1028
-1.0,0.6000001,0.100000076 ,771
-0.9,0.6000001,0.100000076 ,1028
-0.79999995,0.6000001,0.100000076 ,1028
-0.6999999,0.6000001,0.100000076 ,1285
-0.5999999,0.6000001,0.100000076 ,2313
-0.4999999,0.6000001,0.100000076 ,2827
0.80000013,0.50000006,0.100000076 ,1285
0.90000015,0.50000006,0.100000076 ,1028
1.0000001,0.50000006,0.100000076 ,1028
-1.0,0.6000001,0.100000076 ,771
-0.9,0.6000001,0.100000076 ,1028
-0.79999995,0.6000001,0.100000076 ,1028
-0.6999999,0.6000001,0.100000076 ,1285
-0.5999999,0.6000001,0.100000076 ,2313
-0.4999999,0.6000001,0.100000076 ,2827
-9.999993e-2,0.50000006,0.100000076 ,65792
7.4505806e-8,0.50000006,0.100000076 ,1799
0.100000076,0.50000006,0.100000076 ,65792
0.20000008,0.50000006,0.100000076 ,65792
0.30000007,0.50000006,0.100000076 ,65792
0.40000007,0.50000006,0.100000076 ,65792
0.50000006,0.50000006,0.100000076 ,65792
0.6000001,0.50000006,0.100000076 ,10023
0.7000001,0.50000006,0.100000076 ,1799
-9.999993e-2,0.50000006,0.100000076 ,65792
7.4505806e-8,0.50000006,0.100000076 ,1799
0.100000076,0.50000006,0.100000076 ,65792
0.20000008,0.50000006,0.100000076 ,65792
0.30000007,0.50000006,0.100000076 ,65792
0.40000007,0.50000006,0.100000076 ,65792
0.50000006,0.50000006,0.100000076 ,65792
0.6000001,0.50000006,0.100000076 ,10023
0.7000001,0.50000006,0.100000076 ,1799
